feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_compoundId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_group:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_group:GNPSGROUP:1F12	gnps_mn_ATTRIBUTE_group:GNPSGROUP:Control_LB	gnps_mn_ATTRIBUTE_group:GNPSGROUP:phzC	gnps_mn_ATTRIBUTE_group:GNPSGROUP:pvdE	gnps_mn_ATTRIBUTE_group:GNPSGROUP:R47	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:1.0	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:2.0	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:3.0	gnps_mn_ATTRIBUTE_replicate:GNPSGROUP:4.0	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
1	sirius	1.0	canopus	canopus	canopus	4.0	C14H17ClN2OS	[M + H]+	C14H18ClN2OS+	Alkaloids	0.31	Tryptophan alkaloids	0.053	Pyridine alkaloids	0.037	Organohalogen compounds	0.999	Aryl halides	0.801	Aryl chlorides	0.873			Aryl chlorides	0.873	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.082	29.0	0.489	8.391119226778907e+17	8.391117084286369e+17	8.391117083950825e+17																																																																																															1.0	4.0	0.055	0.055	-214.474	0.073	0.124	25.191	C14H17ClN2OS	[M + H]+	C14H18ClN2OS+	ORJGIKCWFUFXCO	InChI=1S/C14H17ClN2OS/c1-9-12(13(18)17(16-9)14(2,3)4)19-11-7-5-10(15)6-8-11/h5-8,16H,1-4H3	2-tert-butyl-4-[(4-chlorophenyl)thio]-5-methyl-1H-pyrazol-3-one	CC1=C(C(=O)N(N1)C(C)(C)C)SC2=CC=C(C=C2)Cl	4.2	2049501	CHEBI:(121640);PUBCHEM:(2049501);PUBMED	98.0	297.082	29.0	0.489	8.391119226778907e+17	8.391117084286369e+17	8.391117083950825e+17		297.0824536022017	0.48884472	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	-1		
2		0.0																																CCMSLIB00005435817	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.72509	379098.0	0.0	3617.53	13.0	1.95752	539.163	1.0	temp/spectra_filtered.mgf2	1.0	Contaminant vial septum ThermoFisher C5000-44B	LC-ESI	Orbitrap	Commercial	Dorrestein	lfnothias	M+Na	541.121	0.0	0.0	 	 	 	 	 	3.0	Positive	GNPS-LIBRARY	541.121	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze											mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005435817																																																																											539.1634833673904	0.48884472	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	-1	2.0	Contaminant vial septum ThermoFisher C5000-44B
3	gnps	1.0	gnps	gnps	gnps																													CCMSLIB00004707093	spectra_filtered.mgf	MONA.mgf	0.799956	1255190.0	0.0	998.878	15.0	0.84845	850.251	1.0	temp/spectra_filtered.mgf3	1.0	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid		ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF016030	[M+K]+	849.403	0.0	1.0			CC1(C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)C5CC[C@]43C)C2C1	InChI=1S/C42H66O15/c1-37(2)13-15-42(36(53)57-34-30(49)27(46)26(45)22(18-43)54-34)16-14-40(5)20(21(42)17-37)7-8-24-38(3)11-10-25(39(4,19-44)23(38)9-12-41(24,40)6)55-35-31(50)28(47)29(48)32(56-35)33(51)52/h7,21-32,34-35,43-50H,8-19H2,1-6H3,(H,51,52)/t21?,22-,23?,24?,25+,26-,27+,28+,29+,30-,31-,32+,34+,35-,38+,39+,40-,41-,42+/m1/s1		3.0	positive	MONA	849.403	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C42H66O15	RZQHWSDMLZHIRN-MCTPBCADSA-N	RZQHWSDMLZHIRN	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Triterpenoids	Oleanane triterpenoids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00004707093																																																																											850.2514352521376	0.48020104	0	880999.6000000001	0.0	289849.85	278162.975	296816.55	0	288197.8	0.0	305456.15	1152175.025	392	3.0	(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid
4	sirius	1.0	canopus	canopus	canopus	1.0	C26H48O4	[M + H]+	C26H49O4+	Terpenoids	0.5	Sesquiterpenoids	0.207	Wax monoesters	0.059	Organic acids and derivatives	0.969	Carboxylic acids and derivatives	0.957	Dicarboxylic acids and derivatives	0.534			Dicarboxylic acids and derivatives	0.534	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	425.363	30.0	0.492	8.391119185590836e+17	8.39111708856456e+17	8.39111708856456e+17																																																																																															1.0	1.0	0.397	0.397	-181.812	0.645	0.5	80.187	C26H48O4	[M + H]+	C26H49O4+	HORIEOQXBKUKGQ	InChI=1S/C26H48O4/c1-21(2)15-9-5-7-13-19-29-25(27)23-17-11-12-18-24(23)26(28)30-20-14-8-6-10-16-22(3)4/h21-24H,5-20H2,1-4H3		CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C	8.9	86333316;86333317;86333318;162641171;131708781;11524680	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0448385);NORMAN:(NS00002037);HMDB:(HMDB0244746);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(11524680);SUPERNATURAL:(SN0131339);HSDB:(166412-78-8);MESH:(11524680);PUBCHEM:(86333316 86333317 86333318 162641171 131708781 11524680);DSSTox:(DTXSID20274044);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563996750.0	425.363	30.0	0.492	8.391119185590836e+17	8.39111708856456e+17	8.39111708856456e+17		425.3626122039863	0.49218234	0	2913708.425	4748258.5	3239032.75	2960516.0	3211868.875	0	3059828.5	3026822.85	3196010.8	3042463.9	-1		
5	sirius	1.0	canopus	canopus	canopus	1.0	C12H38O7Si6	[M + H]+	C12H39O7Si6+	Fatty acids	0.934	Fatty acyls	0.734	Fatty alcohols	0.812	Organometallic compounds	0.755	Organometalloid compounds	0.755					Organometalloid compounds	0.755	Organic compounds; Organooxygen compounds; Organometallic compounds; Organometalloid compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	463.131	30.0	0.493	8.39111943691356e+17	8.391117089445363e+17	8.39111708940342e+17																																																																																															1.0	1.0	-inf	-inf	-41.158	0.281	0.049	51.072	C12H38O7Si6	[M + H]+	C12H39O7Si6+	ACOILBOPXXVUQP	InChI=1S/C12H38O7Si6/c1-20(2,13)15-22(5,6)17-24(9,10)19-25(11,12)18-23(7,8)16-21(3,4)14/h13-14H,1-12H3	Dodecamethylhexasiloxane-1,11-diol	C[Si](C)(O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O	6.695	15635648	PUBCHEM:(15635648);DSSTox:(DTXSID90576082)	137438953474.0	463.131	30.0	0.493	8.39111943691356e+17	8.391117089445363e+17	8.39111708940342e+17		463.13073064065895	0.49299502	0	847764.9	0.0	564860.525	0.0	0.0	0	599867.3	0.0	262495.875	550262.25	392		
6	sirius	1.0	canopus	canopus	canopus	1.0	C25H18N4O3	[M - H2O + H]+	C25H17N4O2+	Alkaloids	0.965	Anthranilic acid alkaloids	0.79	Quinazoline alkaloids	0.438	Benzenoids	0.996	Benzene and substituted derivatives	0.793					Benzene and substituted derivatives	0.793	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	405.135	32.0	0.526	8.39111918345174e+17	8.391117090242281e+17	8.391117090200338e+17																																																																																															1.0	1.0	0.214	0.214	-227.499	0.922	0.327	20.097	C25H18N4O3	[M - H2O + H]+	C25H17N4O2+	WFJMXMMPYVXLFE	InChI=1S/C25H18N4O3/c30-24(17-7-4-9-19(15-17)27-25(31)22-12-5-13-32-22)26-18-8-3-6-16(14-18)23-28-20-10-1-2-11-21(20)29-23/h1-15H,(H,26,30)(H,27,31)(H,28,29)	N-[3-[[3-(1H-benzimidazol-2-yl)phenyl]carbamoyl]phenyl]furan-2-carboxamide	C1=CC=C2C(=C1)NC(=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=CC=C4)NC(=O)C5=CC=CO5	4.2	2192323	PUBCHEMANNOTATIONBIO;PUBCHEM:(2192323);PUBMED	16777282.0	405.135	32.0	0.526	8.39111918345174e+17	8.391117090242281e+17	8.391117090200338e+17		405.1346231162984	0.52617687	0	0.0	0.0	0.0	1837962.175	2543034.125	0	947148.575	1189052.475	1002119.2	1242676.05	-1		
7	sirius	1.0	canopus	canopus	canopus	6.0	C24H16N4O3S	[M - H2O + H]+	C24H15N4O2S+	Alkaloids	0.647	Tryptophan alkaloids	0.258	Anthraquinones and anthrones	0.019	Benzenoids	0.993	Benzene and substituted derivatives	0.727					Benzene and substituted derivatives	0.727	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	423.091	32.0	0.527	8.391119185213349e+17	8.391117090997256e+17	8.391117090955313e+17																																																																																															1.0	6.0	0.486	0.486	-167.493	0.019	0.001	10.645	C24H16N4O3S	[M - H2O + H]+	C24H15N4O2S+	YMZURWGPCJSUBK	InChI=1S/C24H16N4O3S/c29-22(25-18-13-7-12-17(14-18)21-27-24(30)31-28-21)20-19(15-8-3-1-4-9-15)26-23(32-20)16-10-5-2-6-11-16/h1-14H,(H,25,29)(H,27,28,30)	N-[3-(5-oxo-4H-1,2,4-oxadiazol-3-yl)phenyl]-2,4-diphenyl-1,3-thiazole-5-carboxamide	C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=CC=C3)C(=O)NC4=CC=CC(=C4)C5=NOC(=O)N5	5.0	136202677	PUBCHEM:(136202677)	2.0	423.091	32.0	0.527	8.391119185213349e+17	8.391117090997256e+17	8.391117090955313e+17		423.09110708641407	0.5269065	0	0.0	0.0	0.0	3336070.5250000004	4182193.25	0	1754197.925	1999730.925	1901719.3	1862615.625	57		
8	sirius	1.0	canopus	canopus	canopus	2.0	C6H12O2	[M + K]+	C6H12KO2+	Fatty acids	0.999	Fatty esters	0.996	Wax monoesters	0.992	Lipids and lipid-like molecules	0.871	Fatty Acyls	0.88	Fatty acid esters	0.684			Fatty acid esters	0.684	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.047	32.0	0.533	8.391119152413887e+17	8.391117091710287e+17	8.391117091668344e+17																																																																																															1.0	2.0	0.071	0.104	-48.153	0.486	0.327	29.55	C6H12O2	[M + K]+	C6H12KO2+	HDUOBOAWDSZFTJ	InChI=1S/C6H12O2/c1-3-7-5-6-8-4-2/h5-6H,3-4H2,1-2H3	(Z)-1,2-Diethoxyethene	CCOC=COCC	1.2	3032654;10942392;27889	NORMAN:(NS00025390);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3032654 10942392 27889);DSSTox:(DTXSID8074283)	137506324482.0	155.047	32.0	0.533	8.391119152413887e+17	8.391117091710287e+17	8.391117091668344e+17		155.0468446634948	0.5301615	0	4770992.375	0.0	6295697.375	1131148.125	3796294.575	0	7282482.25	1909906.45	3067256.5	3734487.25	-1		
9																																																																																																																																																									127.01564085559014	0.53271854	0	1016737.725	0.0	1567080.0	282071.225	560513.2	0	1740804.2	339345.375	757433.3999999999	588819.175	-1		
10	isdb	1.0																																																																													24.0	Fatty acids	0.64	Fatty amides	0.44	N-acyl amines	0.4	1.0	0.41824865	ISDB									MREXZJBTRBHVNS							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	1.672994613647461	1.0																											299.2772141183813	0.5713733	0	8697041.0	0.0	1359344.1	3956894.125	686957.125	0	3589956.55	2996341.675	4147118.9	3966819.225	24		
11	gnps & sirius	1.0	canopus & gnps	canopus & gnps	canopus & gnps	2.0	C10H8FNO2	[M + H3N + H]+	C10H12FN2O2+	Alkaloids	0.836	Nicotinic acid alkaloids	0.448	Pyridine alkaloids	0.447	Benzenoids	0.899	Benzene and substituted derivatives	0.792	Halobenzenes	0.804	Fluorobenzenes	0.874	Fluorobenzenes	0.874	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	211.087	33.0	0.544	8.39111916264799e+17	8.391117093849382e+17	8.39111709380744e+17		CCMSLIB00005739084	spectra_filtered.mgf	MASSBANK.mgf	0.92358	10582000.0	0.0	271.436	8.0	0.057312	211.087	1.0	temp/spectra_filtered.mgf11	1.0	Massbank:PR311142 Cyclo(leucylprolyl)	ESI	qTof	Isolated	Massbank	Massbank	M+H	211.144	0.0	1.0			O=C1NC(C(=O)N2CCCC12)CC(C)C	1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)		3.0	Positive	MASSBANK	211.144	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C11H18N2O2	SZJNCZMRZAUNQT-UHFFFAOYSA-N	SZJNCZMRZAUNQT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005739084																																																	1.0	2.0	0.105	0.105	-192.027	0.222	0.333	60.18	C10H8FNO2	[M + H3N + H]+	C10H12FN2O2+	LVGDEACFPFFUFB	InChI=1S/C10H8FNO2/c1-6-3-8(11)4-7(5-12)9(6)10(13)14-2/h3-4H,1-2H3	Methyl 2-cyano-4-fluoro-6-methylbenzoate	CC1=CC(=CC(=C1C(=O)OC)C#N)F	2.0	57949316	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(57949316);DSSTox:(DTXSID40728453)	137506062338.0	211.087	33.0	0.544	8.39111916264799e+17	8.391117093849382e+17	8.39111709380744e+17		211.08668402423004	0.5456265	0	0.0	2815675.2	340216.225	0.0	325688.525	0	0.0	340216.225	325688.525	0.0	350	11.0	Massbank:PR311142 Cyclo(leucylprolyl)
12	isdb & sirius	1.0	canopus	canopus	canopus	1.0	C16H28O2	[M + H3N + H]+	C16H32NO2+	Fatty acids	0.999	Fatty Acids and Conjugates	0.836	Unsaturated fatty acids	0.869	Lipids and lipid-like molecules	0.841	Fatty Acyls	0.865	Fatty acids and conjugates	0.707	Long-chain fatty acids	0.644	Long-chain fatty acids	0.644	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	270.243	33.0	0.556	8.391119148387355e+17	8.391117094520471e+17	8.391117094520471e+17																																															24.0	Fatty acids	0.64	Fatty amides	0.44	N-acyl amines	0.4	1.0	0.50050724	ISDB									NENYILIQUDSQCC							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	2.0020289421081543	1.0	1.0	1.0	0.187	0.259	-106.609	1.0	0.333	314.681	C16H28O2	[M + H3N + H]+	C16H32NO2+	PUZGUNYANHPRKM	InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)	hexadec-15-ynoic acid	C#CCCCCCCCCCCCCCC(=O)O	5.661	127256	COCONUT:(CNP0346646);SUPERNATURAL:(SN0295889);MESH:(127256);LotusExpanded;PUBCHEM:(127256);DSSTox:(DTXSID70243987);PUBMED:(null)	146032033862.0	270.243	33.0	0.556	8.391119148387355e+17	8.391117094520471e+17	8.391117094520471e+17		270.2427543361503	0.5556275	0	9797395.125	0.0	1379087.2000000002	3698620.65	764077.55	0	4118160.75	2995369.575	4142804.45	4382845.75	24		
13	sirius	1.0	canopus	canopus	canopus	2.0	C20H28O2	[M + H3N + H]+	C20H32NO2+	Fatty acids	0.853	Fatty Acids and Conjugates	0.6	Unsaturated fatty acids	0.813	Lipids and lipid-like molecules	0.958	Fatty Acyls	0.724	Fatty acids and conjugates	0.489	Straight chain fatty acids	0.582	Straight chain fatty acids	0.582	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	318.24	33.0	0.553	8.391119194440819e+17	8.391117095275447e+17	8.391117095275447e+17																																																																																															1.0	2.0	0.064	0.064	-110.43	0.054	0.278	18.857	C20H28O2	[M + H3N + H]+	C20H32NO2+	QKGIFUQFFVKHGS	InChI=1S/C20H28O2/c1-16(2)9-6-10-17(3)11-7-12-18(4)13-8-14-19(5)15-20(21)22/h7-9,11-15H,6,10H2,1-5H3,(H,21,22)	3,7,11,15-tetramethylhexadeca-2,4,6,8,10,14-hexaenoic acid	CC(=CCCC(=CC=CC(=CC=CC(=CC(=O)O)C)C)C)C	6.9	87611211;10424896;54232482	COCONUT:(CNP0344097);SUPERNATURAL:(SN0307747);PUBCHEM:(87611211 10424896 54232482)	3145730.0	318.24	33.0	0.553	8.391119194440819e+17	8.391117095275447e+17	8.391117095275447e+17		318.2403576351463	0.5524402	0	5471426.75	1637335.8	1457684.5	8789385.25	2382773.525	0	4333734.075	4267274.825	4961907.4	4538353.725	-1		
14	isdb & sirius	1.0	canopus & isdb	canopus & isdb	canopus & isdb	6.0	C10H9FN4	[M + Na]+	C10H9FN4Na+	Alkaloids	0.981	Tryptophan alkaloids	0.499	Carboline alkaloids	0.436	Organohalogen compounds	0.999	Aryl halides	0.983	Aryl fluorides	0.983			Aryl fluorides	0.983	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organohalogen compounds; Organonitrogen compounds; Aryl fluorides; Organofluorides; Benzenoids; Amines; Aryl halides; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	227.071	33.0	0.558	8.391119203878003e+17	8.391117095988479e+17	8.391117095988479e+17																																															221.0	Amino acids and Peptides	0.5	Small peptides	0.5	Aminoacids	0.5	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27158772	CABXGBMKSVRWOG-LURJTMIESA-N	InChI=1S/C8H16N2O3/c1-5(2)10-7(11)4-3-6(9)8(12)13/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t6-/m0/s1	CC(C)NC(=O)CC[C@H](N)C(=O)O	C8H16N2O3	pos_1_minus1proton1calcium	188.116092372	H-Gln(isopropyl)-OH	CABXGBMKSVRWOG	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6.0	3.0	7.5	1.0	1.0	6.0	0.096	0.096	-90.783	0.026	0.054	7.391	C10H9FN4	[M + Na]+	C10H9FN4Na+	JHHAAAYVEZADDK	InChI=1S/C10H9FN4/c1-6-10(12)14-5-9(15-6)7-2-8(11)4-13-3-7/h2-5H,1H3,(H2,12,14)	5-(5-Fluoropyridin-3-yl)-3-methylpyrazin-2-amine	CC1=NC(=CN=C1N)C2=CC(=CN=C2)F	0.5	138490461	PUBCHEM:(138490461)	2.0	227.071	33.0	0.558	8.391119203878003e+17	8.391117095988479e+17	8.391117095988479e+17		227.0713428845281	0.55711806	0	0.0	0.0	0.0	7629302.5	6460286.75	0	3676658.625	3363939.125	4004662.125	3044329.375	221		
